feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Taxa,Log2FC,Mean_rel_abt_on_kiosk
Acinetobacter.junii,is_kiosk,Kiosk,-0.0084584847193045,0.0023569029064423,41,41,0.0009361121643665,0.0035184905488259,Acinetobacter.junii,-2.086073431639811,0.0030299556153846
Staphylococcus.epidermidis,is_kiosk,Kiosk,-0.0012072938971976,0.0003420527963426,41,41,0.0011082189355543,0.0040947750500143,Staphylococcus.epidermidis,-2.5330794270324724,0.0005208732307692
Dietzia.sp..oral.taxon.368,is_kiosk,Kiosk,0.0010795177842862,0.0003167010956178,41,41,0.0015661609689083,0.0056903848537003,Dietzia.sp..oral.taxon.368,-0.1811514534199059,0.0015782746153846
Brevibacterium.luteolum,is_kiosk,Kiosk,0.0008168676627603,0.0002474390219283,41,41,0.0021581909720513,0.0075884779339869,Brevibacterium.luteolum,-0.5773606608656277,0.001024556076923
Stenotrophomonas.maltophilia,is_kiosk,Kiosk,0.0011303227533434,0.0003733258760365,41,41,0.0044100671644416,0.0147906867976657,Stenotrophomonas.maltophilia,-0.0781324568974124,0.0026869808461538
Cutibacterium.granulosum,is_kiosk,Kiosk,-0.0012542513870209,0.0004166792165632,41,41,0.0046209136197306,0.0152630177136556,Cutibacterium.granulosum,-2.670078045757986,0.0004750459230769
Staphylococcus.arlettae,is_kiosk,Kiosk,-0.0044027522378228,0.0015086596034207,41,41,0.0058831903492866,0.0191423208379774,Staphylococcus.arlettae,-1.402397505750189,0.003647612076923
Brachybacterium.sp..P6.10.X1,is_kiosk,Kiosk,0.0008277061183896,0.0002875792849405,41,41,0.0065310531583406,0.020937788066445,Brachybacterium.sp..P6.10.X1,-0.3248723478973296,0.0018216366923076
Staphylococcus.hominis,is_kiosk,Kiosk,-0.001523060501614,0.0005315066870795,41,41,0.0067483630975416,0.0213209152936823,Staphylococcus.hominis,-1.6682989498033276,0.0013198571538461
Micrococcus.luteus,is_kiosk,Kiosk,-0.0168443253558045,0.0059434395820581,41,41,0.0075586800580148,0.0232083415865809,Micrococcus.luteus,-0.5778914168992433,0.0393405722307692
Acinetobacter.indicus,is_kiosk,Kiosk,-0.0077704363195093,0.0028268393403799,41,41,0.0091015964809837,0.0271801100391023,Acinetobacter.indicus,-1.663815732999483,0.0041881476923076
Brevibacterium.sp..CS2,is_kiosk,Kiosk,-0.0014168430471869,0.0005600632632415,41,41,0.0157586796667088,0.0464242184776015,Brevibacterium.sp..CS2,-1.269198353879622,0.0019211876923076
Thalassiosira.pseudonana,is_kiosk,Kiosk,0.0011499296219159,0.0004745823313227,41,41,0.0204630858771424,0.0594793696162272,Thalassiosira.pseudonana,-0.1022316357547179,0.0019512543846153
Janibacter.indicus,is_kiosk,Kiosk,-0.0063943502577764,0.0026499620708117,41,41,0.020852367169648,0.0594926083394277,Janibacter.indicus,-0.9389500799864504,0.0081635258461538
Pseudomonas.putida,is_kiosk,Kiosk,0.0008191465981702,0.0003396568400794,41,41,0.0210134442299813,0.0594926083394277,Pseudomonas.putida,-0.4286352299468881,0.0012548228461538
Brachybacterium.ginsengisoli,is_kiosk,Kiosk,0.0007890055138058,0.0003426166930368,41,41,0.0268533789113008,0.0750517513161996,Brachybacterium.ginsengisoli,-0.3074936161430415,0.0021070883076923
Pseudomonas.stutzeri,is_kiosk,Kiosk,-0.0274834785204677,0.0124572841611096,41,41,0.0334869731499754,0.0924070904644892,Pseudomonas.stutzeri,-0.8821008192931417,0.0375711482307692
Kocuria.sp..KD4,is_kiosk,Kiosk,0.0016811314213039,0.0007727215588071,41,41,0.0358900005554371,0.096592841001053,Kocuria.sp..KD4,0.3605582714719499,0.0018635022307692
Pseudomonas.oryzihabitans,is_kiosk,Kiosk,0.0010452280932938,0.0004793103490075,41,41,0.0355216850040374,0.096592841001053,Pseudomonas.oryzihabitans,-0.1792328272317362,0.0019891343076923
Brachybacterium.sp..SGAir0954,is_kiosk,Kiosk,0.0007342398148546,0.0003570955997348,41,41,0.04668451835624,0.121157440495956,Brachybacterium.sp..SGAir0954,-0.313531328036575,0.0023108707692307
Corynebacterium.sanguinis,is_kiosk,Kiosk,-0.0018871351550149,0.000945917030912,41,41,0.0532469585456521,0.136023534982908,Corynebacterium.sanguinis,-2.211467541985331,0.0008720364615384
Brachybacterium.faecium,is_kiosk,Kiosk,0.0006847262723469,0.0003567602749664,41,41,0.0624803488627569,0.156447901441486,Brachybacterium.faecium,-0.3475242752874887,0.0022300503846153
Moraxella.osloensis,is_kiosk,Kiosk,-0.0081365890680238,0.0043680365680833,41,41,0.070240597034167,0.172050001724139,Moraxella.osloensis,-1.4216625344418876,0.0055652566923076
Acinetobacter.baumannii,is_kiosk,Kiosk,-0.001086383142245,0.0006028731064408,41,41,0.0794811960607476,0.188335877622206,Acinetobacter.baumannii,-1.86112727955814,0.0008972699999999
Janibacter.limosus,is_kiosk,Kiosk,0.0006935237399005,0.0003879593834331,41,41,0.0818149350123194,0.191781245512749,Janibacter.limosus,-0.2972191118274399,0.0026195815384615
Corynebacterium.ureicelerivorans,is_kiosk,Kiosk,-0.0021609270514251,0.0013376742366945,41,41,0.114518879735406,0.252172886690086,Corynebacterium.ureicelerivorans,-1.5909001935487614,0.0017556189230769
Brevibacterium.linens,is_kiosk,Kiosk,0.0004803274137989,0.0002991696536435,41,41,0.118603297049728,0.258555187568407,Brevibacterium.linens,-0.8875868775407003,0.0008826725384615
Pseudoxanthomonas.suwonensis,is_kiosk,Kiosk,0.001214601479082,0.0007893621897155,41,41,0.132514568206146,0.28602154325683,Pseudoxanthomonas.suwonensis,-0.1588967927100331,0.0024467384615384
Staphylococcus.saprophyticus,is_kiosk,Kiosk,-0.0007672832737556,0.0006878476466373,41,41,0.27164772721345,0.512055238567207,Staphylococcus.saprophyticus,-2.210988841514398,0.0006008146153846
