feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Stenotrophomonas.maltophilia	is_kiosk	Kiosk	0.00113032275334343	0.000373325876036579	41	41	0.0044100671644416	0.0147906867976657
Cutibacterium.granulosum	is_kiosk	Kiosk	-0.00125425138702098	0.000416679216563225	41	41	0.0046209136197306	0.0152630177136556
Staphylococcus.arlettae	is_kiosk	Kiosk	-0.00440275223782285	0.00150865960342077	41	41	0.00588319034928662	0.0191423208379774
Brachybacterium.sp..P6.10.X1	is_kiosk	Kiosk	0.000827706118389606	0.000287579284940525	41	41	0.00653105315834065	0.020937788066445
Staphylococcus.hominis	is_kiosk	Kiosk	-0.00152306050161405	0.000531506687079532	41	41	0.00674836309754164	0.0213209152936823
Acinetobacter.schindleri	Year_categorical	Batch_2	0.0021068347658464	0.000739270466449598	41	41	0.0073129203302109	0.0227745233140854
Micrococcus.luteus	is_kiosk	Kiosk	-0.0168443253558045	0.00594343958205818	41	41	0.00755868005801486	0.0232083415865809
Serinicoccus.marinus	Year_categorical	Batch_2	0.00082284443403322	0.000293888912174276	41	41	0.00799182827870982	0.0241974800660936
Acinetobacter.indicus	is_kiosk	Kiosk	-0.00777043631950936	0.00282683934037999	41	41	0.00910159648098379	0.0271801100391023
Brevibacterium.sp..CS2	is_kiosk	Kiosk	-0.00141684304718692	0.000560063263241584	41	41	0.0157586796667088	0.0464242184776015
Thalassiosira.pseudonana	is_kiosk	Kiosk	0.00114992962191599	0.000474582331322795	41	41	0.0204630858771424	0.0594793696162272
Janibacter.indicus	is_kiosk	Kiosk	-0.00639435025777645	0.00264996207081178	41	41	0.020852367169648	0.0594926083394277
Pseudomonas.putida	is_kiosk	Kiosk	0.000819146598170287	0.000339656840079494	41	41	0.0210134442299813	0.0594926083394277
Brachybacterium.ginsengisoli	is_kiosk	Kiosk	0.000789005513805877	0.000342616693036805	41	41	0.0268533789113008	0.0750517513161996
Pseudomonas.stutzeri	is_kiosk	Kiosk	-0.0274834785204677	0.0124572841611096	41	41	0.0334869731499754	0.0924070904644892
Kocuria.sp..KD4	is_kiosk	Kiosk	0.00168113142130391	0.000772721558807116	41	41	0.0358900005554371	0.096592841001053
Pseudomonas.oryzihabitans	is_kiosk	Kiosk	0.00104522809329383	0.000479310349007539	41	41	0.0355216850040374	0.096592841001053
Cloacibacterium.normanense	Year_categorical	Batch_2	-0.00140565230462	0.000648750798396662	41	41	0.0365941164126007	0.097286797292036
Acinetobacter.sp..ACNIH1	Year_categorical	Batch_2	0.000738503019246891	0.000342217171564788	41	41	0.0384602687283723	0.101016127503436
Brachybacterium.sp..SGAir0954	is_kiosk	Kiosk	0.000734239814854649	0.000357095599734837	41	41	0.04668451835624	0.121157440495956
Corynebacterium.sanguinis	is_kiosk	Kiosk	-0.00188713515501493	0.000945917030912031	41	41	0.0532469585456521	0.136023534982908
Paracoccus.sp..Arc7.R13	Year_categorical	Batch_2	0.00285906476171445	0.00143356612844515	41	41	0.0536606605895877	0.136023534982908
Brachybacterium.faecium	is_kiosk	Kiosk	0.000684726272346972	0.000356760274966401	41	41	0.0624803488627569	0.156447901441486
Thalassiosira.pseudonana	Year_categorical	Batch_2	-0.000876575592836552	0.000456178369317156	41	41	0.0631532813158294	0.156447901441486
Moraxella.osloensis	is_kiosk	Kiosk	-0.00813658906802389	0.00436803656808333	41	41	0.070240597034167	0.172050001724139
Serinicoccus.chungangensis	Year_categorical	Batch_2	0.000503868985472736	0.000271564041639634	41	41	0.0713036812844485	0.172713361333442
Staphylococcus.hominis	Year_categorical	Batch_2	-0.000957644928061487	0.000521571106571175	41	41	0.0741797084181319	0.177705235551129
Acinetobacter.baumannii	is_kiosk	Kiosk	-0.00108638314224504	0.000602873106440821	41	41	0.0794811960607476	0.188335877622206
Janibacter.limosus	is_kiosk	Kiosk	0.000693523739900505	0.000387959383433185	41	41	0.0818149350123194	0.191781245512749
Exiguobacterium.mexicanum	Year_categorical	Batch_2	0.000522811991941815	0.000293608410514779	41	41	0.0833500248631197	0.193301121491065
Serinicoccus.sp..JLT9	Year_categorical	Batch_2	0.000388750716157874	0.000219833739987592	41	41	0.0850242946451393	0.195108381396214
Ornithinimicrobium.sp..AMA3305	Year_categorical	Batch_2	0.0004795558157437	0.000272792034977858	41	41	0.0868086519639438	0.197127980501456
Malassezia.restricta	Year_categorical	Batch_2	-0.00417651334388421	0.00241024319417619	41	41	0.0922615147643802	0.207350620810669
Kocuria.palustris	Year_categorical	Batch_2	-0.00318247413329679	0.00192844674544527	41	41	0.10787960879097	0.239977088943178
Corynebacterium.ureicelerivorans	is_kiosk	Kiosk	-0.00216092705142515	0.0013376742366945	41	41	0.114518879735406	0.252172886690086
Brevibacterium.linens	is_kiosk	Kiosk	0.000480327413798924	0.000299169653643562	41	41	0.118603297049728	0.258555187568407
Pseudoxanthomonas.suwonensis	is_kiosk	Kiosk	0.00121460147908204	0.000789362189715554	41	41	0.132514568206146	0.28602154325683
Corynebacterium.jeikeium	Year_categorical	Batch_2	-0.00105346732510495	0.000699131792298748	41	41	0.14045450998074	0.300187089958837
Ornithinimicrobium.sp..HY006	Year_categorical	Batch_2	0.000355931449530553	0.000238163612088006	41	41	0.143307930254548	0.303311930053315
Moraxella.osloensis	Year_categorical	Batch_2	0.00613149922231569	0.00428638382496526	41	41	0.160757154215921	0.336971727106449
Staphylococcus.capitis	Year_categorical	Batch_2	-0.000514016415450859	0.000365368469237021	41	41	0.167600114322386	0.347969761164573
Tessaracoccus.flavus	Year_categorical	Batch_2	0.000442375126586513	0.000321627218663734	41	41	0.177053267060792	0.36412841716276
Tessaracoccus.sp..T2.5.30	Year_categorical	Batch_2	-0.000685920338697686	0.000509188886836516	41	41	0.185931807569208	0.378814336916705
Janibacter.indicus	Year_categorical	Batch_2	-0.0032248851742778	0.00256248444904738	41	41	0.216542216030071	0.433084432060141
Brevibacterium.sp..CS2	Year_categorical	Batch_2	-0.000680428833303238	0.000540502004173738	41	41	0.216280245901807	0.433084432060141
Luteimonas.sp..YGD11.2	Year_categorical	Batch_2	-0.000309839575234376	0.000250560369957633	41	41	0.227192775849953	0.450254773957179
Kocuria.flava	Year_categorical	Batch_2	0.000763809380286712	0.00063014425167679	41	41	0.234034765817122	0.459635846379573
Brevibacterium.luteolum	Year_categorical	Batch_2	0.000272770196855937	0.00023743608030298	41	41	0.258703756058642	0.503548382328429
Corynebacterium.segmentosum	Year_categorical	Batch_2	-0.000651926950588347	0.000571506672269361	41	41	0.261515725207022	0.504517062788768
Staphylococcus.saprophyticus	is_kiosk	Kiosk	-0.000767283273755695	0.000687847646637334	41	41	0.27164772721345	0.512055238567207
Acinetobacter.schindleri	is_kiosk	Kiosk	-0.000864960287027487	0.000768827005235434	41	41	0.267830116636214	0.512055238567207
Aeromonas.caviae	is_kiosk	Kiosk	0.000267084431398771	0.000239851125460465	41	41	0.272469759971542	0.512055238567207
Acinetobacter.johnsonii	is_kiosk	Kiosk	-0.00287035653012788	0.00259841317912032	41	41	0.276253709486758	0.514729133915498
Micrococcus.sp..KBS0714	Year_categorical	Batch_2	-0.000297012078561065	0.000282220295670249	41	41	0.29925693390778	0.55113265340809
Corynebacterium.minutissimum	Year_categorical	Batch_2	-0.000467610660864039	0.000452586404517783	41	41	0.308432035393518	0.55113265340809
Staphylococcus.capitis	is_kiosk	Kiosk	-0.000386949064416319	0.00037232849404588	41	41	0.30524794263151	0.55113265340809
Chroococcidiopsis.thermalis	Year_categorical	Batch_2	0.000794999931969245	0.000768202179372212	41	41	0.308424888841413	0.55113265340809
Acinetobacter.towneri	is_kiosk	Kiosk	-0.000537263909639961	0.000515248839831182	41	41	0.303663341597679	0.55113265340809
Kocuria.rosea	Year_categorical	Batch_2	0.000278509513593408	0.000285491725883904	41	41	0.336218531832026	0.586365119515053
Microbacterium.aurum	Year_categorical	Batch_2	0.00120798319001666	0.00123575505654699	41	41	0.334491099994905	0.586365119515053
Kytococcus.sedentarius	Year_categorical	Batch_2	0.00107025802282221	0.00109381752678856	41	41	0.334814233167112	0.586365119515053
Dietzia.timorensis	is_kiosk	Kiosk	-0.00098368585719195	0.00101462352034778	41	41	0.33941771337231	0.587246519961616
Corynebacterium.xerosis	Year_categorical	Batch_2	-0.000772699158010698	0.000806366833816029	41	41	0.343995286526773	0.589630559133111
Lysobacter.oculi	Year_categorical	Batch_2	-0.000279535797941257	0.00029307094571093	41	41	0.346205098940542	0.589630559133111
Paracoccus.sp..Arc7.R13	is_kiosk	Kiosk	0.00135969875503337	0.00146351388752675	41	41	0.358742356134545	0.60624677238241
Micropruina.glycogenica	Year_categorical	Batch_2	0.000246948309917151	0.000274309569155949	41	41	0.373655153490435	0.620432720828873
Gordonia.sp..JH63	Year_categorical	Batch_2	-0.000333002757440876	0.000369852430779852	41	41	0.375674858483538	0.620432720828873
Acinetobacter.baumannii	Year_categorical	Batch_2	0.000532517016199905	0.000591603456536172	41	41	0.373722998328042	0.620432720828873
Pseudomonas.mendocina	is_kiosk	Kiosk	-0.00287120261835695	0.00326846754030076	41	41	0.3852176276909	0.622296743488316
Stenotrophomonas.maltophilia	Year_categorical	Batch_2	0.000321717313023359	0.000366347206929713	41	41	0.385367249407902	0.622296743488316
Massilia.oculi	Year_categorical	Batch_2	0.00450905073874933	0.00509584269173992	41	41	0.383002443116633	0.622296743488316
Pseudomonas.putida	Year_categorical	Batch_2	0.000283057112963202	0.000328309613762589	41	41	0.394891443606557	0.632316128302133
Chryseobacterium.taklimakanense	Year_categorical	Batch_2	-0.000207189423573861	0.000242048658319101	41	41	0.397372979712808	0.632316128302133
Janibacter.melonis	Year_categorical	Batch_2	0.000381158787422037	0.000455621823759159	41	41	0.408065425224333	0.639987501430968
Rheinheimera.sp..LHK132	is_kiosk	Kiosk	-0.00481276591182059	0.00573234331764957	41	41	0.406522561941753	0.639987501430968
Staphylococcus.epidermidis	Year_categorical	Batch_2	0.000276526623487804	0.000335658722328574	41	41	0.415175536545466	0.646487621192225
Kytococcus.sedentarius	is_kiosk	Kiosk	0.000923266202195502	0.00114878900836882	41	41	0.426851559944779	0.649478413793207
Corynebacterium.xerosis	is_kiosk	Kiosk	0.000661149894564613	0.000821727582323204	41	41	0.426064453024818	0.649478413793207
Gordonia.terrae	Year_categorical	Batch_2	-0.000389626955996031	0.000485689762296365	41	41	0.429013264156981	0.649478413793207
Acinetobacter.indicus	Year_categorical	Batch_2	0.00224881779339342	0.00277399656241822	41	41	0.422599007945723	0.649478413793207
Rothia.mucilaginosa	Year_categorical	Batch_2	0.00024431393337239	0.000312840440172594	41	41	0.439667958406149	0.661018034017521
Kocuria.sp..KD4	Year_categorical	Batch_2	0.000585324070491803	0.000757711251034485	41	41	0.44477056797493	0.662339837032025
Microbacterium.aurum	is_kiosk	Kiosk	0.000968447959212632	0.00125929536332059	41	41	0.446623651576641	0.662339837032025
Micrococcus.sp..KBS0714	is_kiosk	Kiosk	-0.000217793380755234	0.000287596403421228	41	41	0.453547602913393	0.668063361048107
Rheinheimera.sp..LHK132	Year_categorical	Batch_2	0.00419471800488451	0.00559119656455577	41	41	0.458645930346985	0.671039012185521
Propioniciclava.sp..HDW11	Year_categorical	Batch_2	0.000362299897509954	0.000494908230745416	41	41	0.468626351051925	0.676559897545163
Kocuria.palustris	is_kiosk	Kiosk	-0.00145745770083622	0.0019882697126317	41	41	0.468115806659993	0.676559897545163
Aspergillus.fumigatus	is_kiosk	Kiosk	0.000350841697260809	0.000488648311188209	41	41	0.477158344796356	0.684345520826353
Thermomonas.sp..SY21	Year_categorical	Batch_2	-0.000323481418136175	0.000455846067051697	41	41	0.48226637785895	0.687150786753276
Dietzia.timorensis	Year_categorical	Batch_2	0.000658963930772612	0.000962619775543075	41	41	0.499172790565569	0.702963119873776
Pseudomonas.stutzeri	Year_categorical	Batch_2	-0.00832848834067088	0.0122244171949793	41	41	0.499813227433189	0.702963119873776
Brachybacterium.sp..P6.10.X1	Year_categorical	Batch_2	0.000173284756309291	0.000282203497189364	41	41	0.542846593990638	0.730607629334723
Brachybacterium.saurashtrense	is_kiosk	Kiosk	0.000324115708070628	0.00052743906204123	41	41	0.542541621380172	0.730607629334723
Corynebacterium.ureicelerivorans	Year_categorical	Batch_2	-0.000805197448451309	0.00131103592293632	41	41	0.542928605285436	0.730607629334723
Corynebacterium.sanguinis	Year_categorical	Batch_2	0.000580120024915092	0.000928234779600211	41	41	0.535725042460208	0.730607629334723
Staphylococcus.haemolyticus	Year_categorical	Batch_2	-0.000142815545356903	0.000230705713399708	41	41	0.539585199620792	0.730607629334723
Pseudomonas.oryzihabitans	Year_categorical	Batch_2	0.000291803741354361	0.000467238493091785	41	41	0.536261436034991	0.730607629334723
Paracoccus.yeei	Year_categorical	Batch_2	0.000324114046956771	0.000505743291673632	41	41	0.526029723862132	0.730607629334723
Sphingobium.yanoikuyae	is_kiosk	Kiosk	0.000442929743048211	0.000764936063589643	41	41	0.566112937475212	0.757132640304271
Brachybacterium.vulturis	Year_categorical	Batch_2	0.000127311820104701	0.000231925854907764	41	41	0.586262521199088	0.774434158175491
Brachybacterium.avium	Year_categorical	Batch_2	0.000116692284367994	0.000215121304918761	41	41	0.590676760842784	0.774434158175491
Pseudomonas.aeruginosa	is_kiosk	Kiosk	0.000359530460309113	0.00065771131241394	41	41	0.587852135801264	0.774434158175491
