Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore,prevalence
Staphylococcus epidermidis,0.08742331288343558,0.7529691211401425,0.09230769230769231,0.26666666666666666,0.27702702702702703,0.9009009009009009,0.8541666666666666,0.24324324324324326,0.7272727272727273,0.03333333333333333,0.15384615384615385,0.13725490196078433,0.5348837209302325,0.8108108108108109,1.0,,0.6470588235294118,0.75,0.4375,0.1875,,0.6875,0.5,0.26666666666666666,0.7857142857142857,0.21428571428571427,,0.21428571428571427,,,0.9166666666666666,0.46875
Deinococcus sp. NW-56,0.4279141104294479,0.12351543942992874,0.47692307692307695,0.5666666666666667,0.5067567567567568,0.04504504504504504,0.34375,0.7027027027027027,0.2878787878787879,0.2,0.5769230769230769,,,0.08108108108108109,0.16666666666666666,,0.47058823529411764,0.625,0.6875,0.4375,,0.625,0.125,0.4666666666666667,0.5,0.14285714285714285,0.8571428571428571,1.0,,0.38461538461538464,0.5,0.46862745098039216
Phycicoccus sp. HDW14,0.21932515337423314,0.5748218527315915,0.48717948717948717,0.3277777777777778,0.25,0.10810810810810811,0.010416666666666666,0.36486486486486486,0.045454545454545456,0.08333333333333333,0.5576923076923077,,0.627906976744186,0.21621621621621623,0.75,,0.6470588235294118,0.375,1.0,0.9375,,0.25,0.5,0.4666666666666667,0.7142857142857143,0.14285714285714285,0.7857142857142857,0.7857142857142857,,0.6923076923076923,0.08333333333333333,0.4666666666666667
Nocardioides sp. R-3366,0.1334355828220859,0.5700712589073634,0.49230769230769234,0.38333333333333336,0.30405405405405406,0.22522522522522523,,0.4189189189189189,0.3181818181818182,0.11666666666666667,0.5961538461538461,,0.7209302325581395,0.2702702702702703,0.6944444444444444,,0.8235294117647058,0.5625,0.875,1.0,,0.4375,0.25,0.4,0.7857142857142857,0.2857142857142857,0.7142857142857143,0.5,,0.7692307692307693,0.25,0.46490384615384617
Sphingomonas sp. AAP5,0.5858895705521472,0.44418052256532065,0.16923076923076924,0.6055555555555555,0.3918918918918919,0.36036036036036034,0.010416666666666666,0.6081081081081081,0.030303030303030304,0.35,0.6730769230769231,0.0392156862745098,0.7441860465116279,0.16216216216216217,0.4444444444444444,0.058823529411764705,0.11764705882352941,0.5625,1.0,0.9375,0.0625,0.75,0.1875,0.4,0.7857142857142857,0.7857142857142857,0.6428571428571429,0.14285714285714285,0.07692307692307693,0.8461538461538461,0.6666666666666666,0.44418052256532065
Methylobacterium brachiatum,0.6733128834355828,0.06175771971496437,0.2358974358974359,0.7777777777777778,0.5608108108108109,0.3153153153153153,,0.7702702702702703,0.07575757575757576,0.6,0.7884615384615384,,0.20930232558139536,0.3783783783783784,,,0.058823529411764705,0.5,0.375,0.6875,,,0.25,0.13333333333333333,1.0,1.0,0.35714285714285715,0.21428571428571427,,1.0,1.0,0.4391891891891892
Burkholderia dolosa,,,,,,,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,0.4375
Nocardioides sp. CF8,0.07975460122699386,0.5914489311163895,0.4256410256410256,0.32222222222222224,0.33783783783783783,0.11711711711711711,,0.2972972972972973,0.2727272727272727,0.08333333333333333,0.5576923076923077,,0.8372093023255814,0.24324324324324326,0.8333333333333334,,0.8823529411764706,0.5625,1.0,1.0,,0.4375,0.5,0.6666666666666666,0.7857142857142857,0.21428571428571427,0.35714285714285715,0.42857142857142855,,0.7692307692307693,0.16666666666666666,0.4330357142857143
Streptomyces venezuelae,0.2745398773006135,0.4489311163895487,0.4256410256410256,0.43333333333333335,0.16891891891891891,0.1891891891891892,,0.4864864864864865,0.3333333333333333,0.13333333333333333,0.6538461538461539,,0.46511627906976744,0.24324324324324326,0.4444444444444444,,0.4117647058823529,0.4375,0.8125,1.0,,0.375,0.25,0.4,0.7142857142857143,0.2857142857142857,0.7857142857142857,0.5714285714285714,,0.6923076923076923,0.08333333333333333,0.4294871794871795
Sphingomonas sp. PAMC26645,0.3282208588957055,0.5938242280285035,0.11282051282051282,0.5944444444444444,0.5878378378378378,0.4594594594594595,0.010416666666666666,0.5405405405405406,0.015151515151515152,0.13333333333333333,0.6730769230769231,0.0196078431372549,0.8604651162790697,0.2972972972972973,0.6944444444444444,0.058823529411764705,0.29411764705882354,0.5625,1.0,1.0,0.0625,0.8125,0.1875,0.5333333333333333,0.7857142857142857,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.07692307692307693,0.6923076923076923,0.25,0.42857142857142855
Nocardioides seonyuensis,0.03834355828220859,0.5486935866983373,0.46153846153846156,0.2833333333333333,0.25675675675675674,0.08108108108108109,0.041666666666666664,0.25675675675675674,0.21212121212121213,0.06666666666666667,0.5192307692307693,,0.6046511627906976,0.21621621621621623,0.6944444444444444,,0.8823529411764706,0.5625,0.9375,1.0,,0.4375,0.375,0.4666666666666667,0.5714285714285714,0.14285714285714285,0.35714285714285715,0.42857142857142855,,0.5384615384615384,0.08333333333333333,0.42857142857142855
Methylorubrum populi,0.74079754601227,0.07125890736342043,0.48717948717948717,0.7777777777777778,0.3108108108108108,0.0990990990990991,0.010416666666666666,0.8108108108108109,0.07575757575757576,0.6,0.8076923076923077,,0.16279069767441862,0.2972972972972973,,,0.058823529411764705,0.5625,0.375,0.3125,,,0.375,0.13333333333333333,0.9285714285714286,1.0,0.7857142857142857,0.42857142857142855,,0.9230769230769231,0.9166666666666666,0.42857142857142855
Clavibacter michiganensis,0.15950920245398773,0.6104513064133017,0.26666666666666666,0.4111111111111111,0.24324324324324326,0.12612612612612611,0.010416666666666666,0.43243243243243246,0.19696969696969696,0.06666666666666667,0.6538461538461539,,0.5813953488372093,0.3783783783783784,0.5555555555555556,,0.5882352941176471,0.4375,1.0,1.0,,0.75,0.4375,0.6666666666666666,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,,0.6923076923076923,0.08333333333333333,0.42857142857142855
Schaalia odontolytica,0.11042944785276074,0.29453681710213775,0.1282051282051282,0.4222222222222222,0.6148648648648649,0.5765765765765766,0.14583333333333334,0.4189189189189189,0.2878787878787879,0.08333333333333333,0.3076923076923077,,0.5581395348837209,0.32432432432432434,0.5,,0.23529411764705882,0.5,0.5625,0.0625,,0.875,0.8125,0.6,0.42857142857142855,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.07692307692307693,0.46153846153846156,0.75,0.42057057057057057
Mesorhizobium sp. NIBRBAC000500504,0.6794478527607362,0.0166270783847981,0.21025641025641026,0.7611111111111111,0.3918918918918919,,,0.7027027027027027,0.15151515151515152,0.7833333333333333,0.34615384615384615,,0.27906976744186046,0.32432432432432434,,,,0.4375,0.25,,,,0.375,0.26666666666666666,0.42857142857142855,1.0,0.5,,,0.9230769230769231,1.0,0.41023166023166024
Klebsiella pneumoniae,0.20705521472392638,0.27315914489311166,0.3641025641025641,0.42777777777777776,0.23648648648648649,0.7657657657657657,0.08333333333333333,0.3918918918918919,0.7424242424242424,0.7666666666666667,0.5192307692307693,0.21568627450980393,0.6976744186046512,0.8378378378378378,0.3333333333333333,0.5882352941176471,0.6470588235294118,0.0625,,0.125,0.25,0.0625,,,0.8571428571428571,0.8571428571428571,0.6428571428571429,0.14285714285714285,0.23076923076923078,0.5384615384615384,0.8333333333333334,0.40983483483483485
