Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,santiago,offa,hamilton,marseille,paris,naples,sacramento,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,minneapolis,auckland,baltimore
Acinetobacter tandoii,0.007668711656441718,0.004750593824228029,0.15384615384615385,0.016666666666666666,0.05405405405405406,,0.041666666666666664,,,,,0.0392156862745098,,,,0.058823529411764705,0.058823529411764705,0.0625,,,,,,,,,,,,0.07692307692307693,
Acinetobacter towneri,0.024539877300613498,0.007125890736342043,0.07179487179487179,0.016666666666666666,0.0945945945945946,0.009009009009009009,0.46875,,0.06060606060606061,,,0.0784313725490196,,0.05405405405405406,,0.058823529411764705,0.058823529411764705,0.0625,,,,,,,,,,0.14285714285714285,,0.07692307692307693,
Acinetobacter ursingii,0.08895705521472393,0.0688836104513064,0.046153846153846156,0.1111111111111111,0.19594594594594594,0.6036036036036037,0.5416666666666666,0.14864864864864866,0.21212121212121213,0.016666666666666666,0.15384615384615385,0.21568627450980393,,0.16216216216216217,0.05555555555555555,0.058823529411764705,,0.0625,0.3125,0.125,0.0625,,0.375,,,,,0.14285714285714285,,0.07692307692307693,0.08333333333333333
Acinetobacter venetianus,0.010736196319018405,0.0023752969121140144,0.015384615384615385,0.005555555555555556,0.04054054054054054,0.009009009009009009,0.5625,,0.015151515151515152,,,0.0196078431372549,,0.02702702702702703,0.05555555555555555,,,0.0625,,,,,,,,,,,,,
Acinetobacter wuhouensis,,0.007125890736342043,0.010256410256410256,0.005555555555555556,0.0945945945945946,0.04504504504504504,0.6145833333333334,,,,,0.09803921568627451,,0.10810810810810811,0.05555555555555555,0.058823529411764705,0.058823529411764705,0.125,,,,,,,,,,,,,
Actinomadura amylolytica,,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura sp. WMMA1423,0.003067484662576687,0.023752969121140142,,0.005555555555555556,,0.009009009009009009,,,0.030303030303030304,,0.038461538461538464,,,,,,,,,,,0.25,,,,0.07142857142857142,,,,,
Actinomadura sp. WMMB499,0.003067484662576687,0.019002375296912115,,,,0.02702702702702703,,,0.015151515151515152,,0.038461538461538464,,,,,,,,,,,0.1875,,,,0.07142857142857142,,,,,
Actinomyces gaoshouyii,,,,0.005555555555555556,,0.009009009009009009,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces howellii,0.0015337423312883436,,,,,,,0.013513513513513514,,,0.019230769230769232,,,0.02702702702702703,,,,,,,,,,,,,,,,,
Actinomyces naeslundii,0.0950920245398773,0.17577197149643706,0.02564102564102564,0.28888888888888886,0.4527027027027027,0.5045045045045045,0.03125,0.33783783783783783,0.12121212121212122,0.016666666666666666,0.19230769230769232,,0.2558139534883721,0.2702702702702703,0.3055555555555556,0.058823529411764705,,,0.625,0.375,0.4375,,0.75,0.5333333333333333,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.38461538461538464,,0.6666666666666666
Actinomyces oris,0.1165644171779141,0.2042755344418052,0.02564102564102564,0.31666666666666665,0.5135135135135135,0.5225225225225225,0.041666666666666664,0.3783783783783784,0.13636363636363635,0.03333333333333333,0.2692307692307692,,0.27906976744186046,0.32432432432432434,0.4722222222222222,0.17647058823529413,,,0.6875,0.4375,0.5625,,0.75,0.5333333333333333,0.42857142857142855,0.21428571428571427,0.5,0.21428571428571427,0.38461538461538464,,0.6666666666666666
Actinomyces pacaensis,0.003067484662576687,0.004750593824228029,,0.03333333333333333,0.013513513513513514,,0.010416666666666666,0.04054054054054054,,,,,0.06976744186046512,,,,,,0.125,0.0625,,,,,,,,,0.07692307692307693,,
Actinomyces radicidentis,0.010736196319018405,0.004750593824228029,0.010256410256410256,0.08333333333333333,0.006756756756756757,0.05405405405405406,0.010416666666666666,0.35135135135135137,,0.016666666666666666,0.19230769230769232,,,0.02702702702702703,0.027777777777777776,,,,,,,,,,0.07142857142857142,,,0.2857142857142857,0.07692307692307693,,
Actinomyces slackii,0.0015337423312883436,,,,0.006756756756756757,,,,,,,,,0.02702702702702703,,,,,,,,,,,,,,,,,
Actinomyces sp. Chiba101,0.0015337423312883436,,,0.011111111111111112,,0.009009009009009009,,,,,,,,0.02702702702702703,,,,,,,,,,,,,,,,,
Actinomyces sp. Z16,,,,,,,,,,,,,,0.02702702702702703,,,,,,,,,,,,,,,,,
Actinomyces sp. dk561,,,,,,,,,,,,,,0.02702702702702703,,,,,,,,,,,,,,,,,
Actinomyces sp. oral taxon 171,0.26380368098159507,0.27315914489311166,0.06153846153846154,0.3888888888888889,0.5675675675675675,0.5675675675675675,0.052083333333333336,0.40540540540540543,0.18181818181818182,0.08333333333333333,0.34615384615384615,,0.37209302325581395,0.35135135135135137,0.5277777777777778,0.23529411764705882,,,0.75,0.4375,0.6875,,0.8125,0.5333333333333333,0.5714285714285714,0.21428571428571427,0.5,0.21428571428571427,0.46153846153846156,,0.6666666666666666
Actinomyces sp. oral taxon 414,0.10122699386503067,0.1496437054631829,0.035897435897435895,0.2722222222222222,0.3716216216216216,0.4774774774774775,0.03125,0.3918918918918919,0.22727272727272727,,0.25,,0.13953488372093023,0.24324324324324326,0.25,0.058823529411764705,,,0.5,0.25,0.5,0.0625,0.625,0.4666666666666667,0.42857142857142855,0.07142857142857142,0.5,0.21428571428571427,0.23076923076923078,,0.6666666666666666
Actinomyces sp. oral taxon 848,,,0.005128205128205128,,0.006756756756756757,,0.010416666666666666,0.013513513513513514,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. oral taxon 897,0.015337423312883436,0.007125890736342043,0.005128205128205128,0.044444444444444446,0.02702702702702703,0.0990990990990991,0.03125,0.0945945945945946,,,0.038461538461538464,,0.046511627906976744,0.05405405405405406,0.027777777777777776,,,,,0.0625,0.0625,,0.0625,,,,0.2857142857142857,0.07142857142857142,,,0.25
Actinomyces viscosus,0.0950920245398773,0.11401425178147269,0.020512820512820513,0.24444444444444444,0.38513513513513514,0.43243243243243246,0.020833333333333332,0.28378378378378377,0.07575757575757576,0.016666666666666666,0.17307692307692307,,0.18604651162790697,0.1891891891891892,0.2222222222222222,,,,0.5,0.1875,0.25,,0.6875,0.4666666666666667,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.14285714285714285,0.3076923076923077,,0.08333333333333333
Actinoplanes derwentensis,0.02147239263803681,0.047505938242280284,0.041025641025641026,,0.013513513513513514,0.05405405405405406,,,0.045454545454545456,0.03333333333333333,0.11538461538461539,,0.046511627906976744,0.02702702702702703,0.08333333333333333,0.058823529411764705,,,0.125,,,0.75,,0.06666666666666667,,0.14285714285714285,,0.07142857142857142,0.15384615384615385,,
Actinoplanes friuliensis,0.03067484662576687,0.14251781472684086,0.05128205128205128,0.07777777777777778,0.013513513513513514,0.08108108108108109,,0.08108108108108109,0.07575757575757576,0.05,0.34615384615384615,,0.13953488372093023,0.10810810810810811,0.16666666666666666,,,,0.0625,0.0625,0.0625,0.875,0.125,0.2,0.14285714285714285,0.21428571428571427,,0.07142857142857142,0.3076923076923077,,
