Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore
Microbacterium sp. CBA3102,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chryseobacterium sp. F5649,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corynebacterium flavescens,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corynebacterium sanguinis,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas sp. J380,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857142,,,,,,
Brachybacterium sp. SGAir0954,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malassezia restricta,,0.0023752969121140144,,,,,0.010416666666666666,0.013513513513513514,,,0.019230769230769232,,,,,,,,,,,,,,,,,,,,
Sphingobacterium mizutaii,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevibacterium sp. CS2,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabia massiliensis,,0.0023752969121140144,,,,,0.010416666666666666,,,,,,,,,,,,,,,,,,,,,,,,
Brevibacterium linens,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chryseobacterium sp. 17S1E7,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chryseobacterium sp. H6466,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serratia liquefaciens,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbacterium sp. 1.5R,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paracoccus jeotgali,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas sp. NIBRBAC000502773,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas putida,,0.0023752969121140144,,,0.033783783783783786,,,,,,,0.0392156862745098,,,,,,,,,0.0625,,,,,,,,,,
